name,segment,offset,debug_type,file_offset,overlay_offset
NUMIFS,0x10ec,0x0f96,0x0085,0x121d6,0x1f2e3
NUMLAB,0x000b,0x0b53,0x0013,0x00f83,0x1f2ef
NUMLINKBLKS,0x10ec,0x13a2,0x0085,0x125e2,0x1f2fe
NUMMACS,0x10ec,0x0aa6,0x0085,0x11ce6,0x1f329
NUMPARS,0x10ec,0x0aa8,0x0085,0x11ce8,0x1f375
NUMREPTS,0x10ec,0x1470,0x0085,0x126b0,0x1f390
N_FR,0x0a0b,0x0947,0x0016,0x0ad77,0x1f3da
OBJCODEADDR,0x10ec,0x13b4,0x0085,0x125f4,0x1f3fa
OBJPTR,0x10ec,0x13ac,0x0085,0x125ec,0x1f40e
OCT,0x10ec,0x8ce8,0x0084,0x19f28,0x1f41d
OK2,0x010b,0x0831,0x008e,0x01c61,0x1f437
OLDBLKADDR,0x10ec,0x13b6,0x0085,0x125f6,0x1f443
OLDLOCSYMTX,0x10ec,0x0f70,0x0085,0x121b0,0x1f456
OLDPARENTPTR,0x10ec,0x0f84,0x0085,0x121c4,0x1f46a
OPBR,0x10ec,0x899d,0x0084,0x19bdd,0x1f495
OPERRCLI,0x10ec,0x89c4,0x0084,0x19c04,0x1f4c0
OPJMP,0x10ec,0x6cdb,0x0085,0x17f1b,0x1f4d1
OPTAB,0x10ec,0x6b2d,0x0084,0x17d6d,0x1f4df
OP_ERRORS,0x120b,0x0e52,0x008f,0x13282,0x1f520
OP_INCDIR,0x040b,0x0e54,0x008f,0x05284,0x1f540
OP_OBJECT,0x0f0b,0x0e45,0x0090,0x10275,0x1f584
ORATAB,0x10ec,0x713b,0x0085,0x1837b,0x1f5d7
OUTPUTADDR,0x10ec,0x249c,0x0085,0x136dc,0x1f63c
OUTPUTBLKFLAG,0x10ec,0x13ba,0x0084,0x125fa,0x1f64f
OUTPUTFLAG,0x10ec,0x2498,0x0084,0x136d8,0x1f665
OUTPUTNAME,0x10ec,0x9adc,0x0084,0x1ad1c,0x1f678
OUTPUTNOWFLAG,0x10ec,0x2499,0x0084,0x136d9,0x1f68b
P65816JMP,0x10ec,0x672b,0x0085,0x1796b,0x1f6bd
PARBUF,0x10ec,0x0000,0x0085,0x11240,0x1f6cf
PARENTPTR,0x10ec,0x0f80,0x0085,0x121c0,0x1f6de
PARSE65816,0x150b,0x0f45,0x002c,0x16375,0x1f6fd
PARSETYPE,0x10ec,0x0f8d,0x0084,0x121cd,0x1f72e
PCADDR,0x10ec,0x0f92,0x0085,0x121d2,0x1f76c
PFDOFIELD,0x0a0b,0x0e52,0x0059,0x0b282,0x1f7e0
PFDOPRTHEX,0x050b,0x0f44,0x0059,0x06374,0x1f7ef
PFEND,0x130b,0x0a44,0x0055,0x13e74,0x1f80f
PFHANDLE,0x10ec,0x2476,0x0085,0x136b6,0x1f93d
PFMACRO2,0x050b,0x0d4f,0x0058,0x0617f,0x1f9ae
PFNAME,0x10ec,0x2478,0x0085,0x136b8,0x1f9ca
PFNUMWARNINGS,0x0f0b,0x1253,0x0057,0x10683,0x1fa5c
PFOK2,0x040b,0x0a4b,0x0056,0x04e7b,0x1fa79
PFOUTPUT,0x10ec,0x247d,0x0084,0x136bd,0x1fab8
PFPERC,0x070b,0x0b54,0x0055,0x07f84,0x1fad4
PFPRTHEX,0x10ec,0x2484,0x0084,0x136c4,0x1fafb
PFSPECTABLE,0x10ec,0x6d2b,0x0085,0x17f6b,0x1fb3e
PFSTRLEN,0x10ec,0x2486,0x0085,0x136c6,0x1fb5d
PFTODISK,0x10ec,0x2474,0x0085,0x136b4,0x1fb94
PFUNK,0x0c0b,0x0a4b,0x0056,0x0ce7b,0x1fba2
PLUS,0x10ec,0x8997,0x0084,0x19bd7,0x1fbd6
PREMEOF,0x100b,0x0c44,0x0081,0x11074,0x1fc9c
PRINTBUFFER,0x10ec,0x8a6e,0x0084,0x19cae,0x1fcac
PRINTBUFPTR,0x10ec,0x2488,0x0085,0x136c8,0x1fcc0
PRINTFDEST,0x10ec,0x2472,0x0085,0x136b2,0x1fcd4
PRINTFNOVAL,0x090b,0x1054,0x0088,0x0a484,0x1fce4
PRITAB,0x10ec,0x6c31,0x0084,0x17e71,0x1fd0c
PRTDECL,0x110b,0x0c42,0x008c,0x12072,0x1fd18
PRTDECW,0x0e0b,0x0c4c,0x008b,0x0f07c,0x1fd25
PRTFLAG,0x10ec,0x13ea,0x0084,0x1262a,0x1fd35
PUTNAME,0x10ec,0x9b9c,0x0084,0x1addc,0x1fdaa
P_AD,0x000b,0x0941,0x0067,0x00d71,0x1fdc0
P_AS,0x0d0b,0x0944,0x0067,0x0dd74,0x1fde0
P_B,0x1a0b,0x084c,0x0067,0x1ac7c,0x1fdf5
P_BEQ,0x150b,0x0a45,0x002f,0x15e75,0x1fe39
P_CHECKMAC,0x0a0b,0x0f48,0x0034,0x0b378,0x1fef6
P_CIFE,0x120b,0x0b52,0x0041,0x12f82,0x1ff36
P_CL,0x190b,0x094e,0x0068,0x19d7e,0x1ff66
P_EN,0x060b,0x0946,0x006a,0x06d76,0x200fd
P_EQUERR,0x0f0b,0x0d55,0x0038,0x10185,0x201b7
P_EQUERR2,0x170b,0x0e52,0x0038,0x18282,0x201c5
P_EQUSKIP,0x0e0b,0x0e52,0x0038,0x0f282,0x201e0
P_I,0x000b,0x084c,0x006b,0x00c7c,0x202ca
P_IFCT,0x020b,0x0b32,0x003e,0x02f62,0x20330
P_IFLE,0x0f0b,0x0b4c,0x0040,0x0ff7c,0x203fc
P_IFLEX,0x010b,0x0c31,0x0042,0x02061,0x20415
P_IFNS,0x1a0b,0x0b32,0x003e,0x1af62,0x20477
P_IFS,0x110b,0x0a32,0x003e,0x11e62,0x204ac
P_INCCOL,0x0d0b,0x0d43,0x0045,0x0e173,0x20525
P_JM,0x050b,0x094a,0x006c,0x05d7a,0x205b9
